date,regime,sell_total,rank_rotation,screen_eject,weight_drift
2018-02-01,bull,0.7531616593567458,0.2917619989085311,0.4613996604482148,
2018-03-01,bull,0.5525621487424703,,0.5525621487424703,
2018-04-02,bull,0.7826686616855407,0.2126443763406415,0.5700242853448992,
2018-05-02,bull,0.4884558971643474,0.05266450057770862,0.4357913965866388,
2018-06-01,bull,0.6342429965411984,,0.6019370854338097,0.032305911107388716
2018-07-02,bull,0.7003062299786672,,0.7003062299786672,
2018-08-01,bull,0.7424556811605271,0.09708232902684136,0.6453733521336857,
2018-09-03,bull,0.7059816234253802,,0.7059816234253802,
2018-10-01,bull,0.5630312355595682,0.05334934572613388,0.5096818898334343,
2018-11-01,bull,0.9212867680160775,,0.9212867680160775,
2018-12-03,bull,0.35082765860104165,,0.2,0.15082765860104164
2019-01-02,bull,0.8298414145874446,0.24041368681702213,0.5894277277704225,
2019-02-11,bull,0.8271993188102386,0.07870559646743423,0.7484937223428043,
2019-03-04,bull,0.332837276037874,0.1641807091770742,0.1686565668607998,
2019-04-01,bull,0.6038402795721936,0.11326198988590652,0.49057828968628703,
2019-05-02,bull,0.4883642597564838,0.05669548372552505,0.43166877603095877,
2019-06-03,bull,0.7391836675277161,,0.7391836675277161,
2019-07-01,bull,0.2,,0.2,
2019-08-01,bull,0.4859121021082501,,0.33214243311191577,0.15376966899633432
2019-09-02,bull,0.5826183417128483,,0.5826183417128483,
2019-10-01,bull,0.4443103911565708,0.05806158647282702,0.3862488046837438,
2019-11-01,bull,0.4275416382741019,0.12339407765948884,0.30414756061461307,
2019-12-02,bull,0.6889857386602795,0.06542173797171777,0.6235640006885617,
2020-01-02,bull,0.4842146324847304,0.17489025229196842,0.309324380192762,
2020-02-03,bull,0.6975837180386583,,0.6975837180386583,
2020-03-02,bull,0.5223726453162341,,0.5223726453162341,
2020-04-01,bull,0.8016871346379674,,0.8016871346379674,
2020-05-04,bull,0.8103977645101489,0.21538796586160988,0.595009798648539,
2020-06-01,bull,0.5583509341872958,0.17814906672320216,0.38020186746409357,
2020-07-01,bull,0.5025453781836389,0.26466605509713703,0.23787932308650186,
2020-08-03,bull,0.5857312780848634,0.10645314520511545,0.47927813287974785,
