date,mkt,q1,q2,q3,q4,q5,ls
2015-02-02,-0.0017245743660603099,-0.011449920080935708,-0.009080497510873154,-0.0027938647741227924,0.0016676103444338128,0.01302380682289664,0.02447372690383235
2015-03-02,0.01270142329714721,0.0025474054271794086,0.00680534305645795,0.004873058916506193,0.021556812177059785,0.027751897914451446,0.025204492487272037
2015-04-01,0.014094546689688622,0.008640609622964413,0.004271670179618536,-0.0007766600124185675,0.02739848309465183,0.030829109921249827,0.022188500298285414
2015-05-04,0.0016589270045801157,-0.02063251060355297,-0.022535586202096853,0.014342429233604992,0.024365424819176962,0.012957527208569668,0.033590037812122636
2015-06-01,-0.032280842654867026,-0.06565246532124945,-0.04569041808997102,-0.03213147141129495,-0.028585434485888184,0.01056862334295436,0.07622108866420381
2015-07-01,-0.048994087906295454,-0.05831393013062178,-0.05782121576291436,-0.05095086143096289,-0.02853564119532873,-0.04925921188822654,0.009054718242395239
2015-08-03,-0.13871362297403342,-0.12213310435049453,-0.15668196589922934,-0.15785724613536076,-0.11788504346335114,-0.13898325274687084,-0.016850148396376316
2015-09-01,-0.038081852661890264,-0.05164584402616545,-0.04702521314081442,-0.04395827369352985,-0.014214319027946636,-0.03356561342099496,0.018080230605170486
2015-10-01,0.0941002505907896,0.09089219470706524,0.09286019536963382,0.07098139635595292,0.10136663742925436,0.11423325534088939,0.023341060633824157
2015-11-02,0.0690652218563012,0.05089474901454073,0.07453944523225982,0.0696432457865432,0.06953497128674721,0.08071965697100525,0.029824907956464516
2015-12-01,-0.015245977468612604,-0.049488334588942993,-0.030678482251181676,-0.0019601746248090993,-0.0012754669734050708,0.007302824064332708,0.0567911586532757
2016-01-04,-0.019038644734403174,-0.031834584430151525,-0.0128605107785058,-0.010172377987748546,-0.021759089447446266,-0.018477102778197516,0.013357481651954009
2016-02-01,-0.021097369256295496,-0.02951627609119468,-0.019305900682325877,-0.01673065000665396,-0.010907497524678634,-0.02890171634844114,0.0006145597427535399
2016-03-01,0.06401543258382358,0.0465315739056811,0.052876777715485296,0.06487741655516792,0.07124434640394249,0.08450500811251621,0.03797343420683511
2016-04-01,0.01542084930746827,0.015780415684853305,0.007029306761691631,0.01934844436534645,0.013943733833384132,0.02100234589206584,0.005221930207212535
2016-05-03,-0.044937388886777674,-0.06005144835960384,-0.049328306502479914,-0.03875180593973109,-0.024249520315463322,-0.05226569719357742,0.007785751166026422
2016-06-01,0.020978896085410287,-0.002527484762617738,0.010489597127758455,0.03028184126808557,0.03605367906975813,0.03076355964497501,0.03329104440759275
2016-07-01,0.018369747058417967,0.03570589440557017,0.021385468758701533,0.019021433676901258,0.01400146250304778,0.0017391983146697006,-0.03396669609090047
2016-08-01,0.050154387154520114,0.039387466960233014,0.06646362887482683,0.06577000671959847,0.046004956078963974,0.033145877138978284,-0.00624158982125473
2016-09-01,0.01347241471525974,-0.008407677437491174,0.026116531073438646,0.023935154351403733,0.016652680739391496,0.009065384849556005,0.01747306228704718
2016-10-03,0.013817105863306142,0.01337554362140718,0.02370417262868698,0.009385803460847773,0.013268621097120754,0.009412826547936409,-0.00396271707347077
2016-11-01,-0.029613944131957195,-0.02748893735354247,-0.024972896397008355,-0.03294648827242391,-0.03298887357791129,-0.0296636087329211,-0.0021746713793786288
2016-12-01,-0.007852783118257354,-0.017980036888306627,-0.0012527691758358961,-0.018976665372476886,-0.005122282269441718,0.004067838114774361,0.02204787500308099
2017-01-03,0.025337616707609135,0.029860962875911112,0.02655757008640902,0.020483503772936586,0.029093990631643255,0.02069205617114571,-0.009168906704765403
2017-02-02,0.021838630399914634,0.013004658586948867,0.024567199555192938,0.01944526697581412,0.023080341669357574,0.0291067126038724,0.016102054016923533
2017-03-01,0.059523055537504505,0.05889439582259492,0.0477608782141991,0.05287900708884168,0.05568616189129694,0.08223819298454638,0.02334379716195146
2017-04-05,0.028965267403373334,0.008809266044507493,0.012520035989887643,0.024810463613074155,0.03566653982591324,0.06299438460650697,0.05418511856199948
2017-05-02,-0.009996576934780814,-0.0326260156315145,-0.00650248040987162,-0.011236738404080921,0.00577373139924098,-0.005398989980250408,0.027227025651264093
2017-06-01,0.008337252746702987,0.0017127566482812951,-0.003304107811827528,0.008915179489618019,0.021534596977049996,0.012841517343308104,0.011128760695026808
2017-07-03,0.008583613829074301,0.013501936665916973,0.006723859755251938,0.00391774363999313,0.009430026155011371,0.009344502929198088,-0.004157433736718886
2017-08-01,0.018509523465406633,-0.004248224028507271,0.007050040393620905,0.029254200985719,0.024150678837352425,0.03630386172674721,0.040552085755254486
2017-09-01,0.03317327918884023,0.0125552854315637,0.04641237220104301,0.03280776553601932,0.03192614426142655,0.04229532214552372,0.02974003671396002
2017-10-02,0.016151964616921134,0.014591366983351336,0.008592736552076999,0.03122328822847441,0.006499229925782235,0.019949197086714016,0.0053578301033626805
2017-11-01,0.0232879634855538,0.0025496734272801892,0.0317871510316456,0.02738329915708859,0.02200832738163855,0.03275705979367416,0.03020738636639397
2017-12-01,-0.006089010202619194,-0.029036334503990867,-0.0043678183773820925,-0.010689063075750493,0.012316108138234999,0.0013021863325903271,0.030338520836581194
2018-01-02,0.014876522019850014,0.01857086733525582,0.016366270972129397,0.01741879892059972,0.012468704764334645,0.009552006624441936,-0.009018860710813885
2018-02-01,0.011591357569629595,0.00924478956816037,0.0020290348415054446,0.018325209098798385,0.011719671604557141,0.01657390580524095,0.007329116237080581
2018-03-01,-0.015972959576791512,-0.017011667993911267,-0.023744324515157282,-0.015063244907393752,-0.017349030472527626,-0.0066898716076783885,0.010321796386232878
