config,cagr,sharpe,mdd,turnover,cagr_2010_18
A match-FinLab NET,0.013099019956265723,0.060725281448597436,0.4662089748811171,13.83497922367488,-0.02609513065210023
A match-FinLab GROSS,0.05895848012243787,0.27295026806308337,0.44285604254793287,13.83497922367488,0.02021359285867197
B our-native NET,-0.001991991118510006,-0.009307858427165151,0.4880370359835966,13.577096970805453,-0.04401045781140933
B our-native GROSS,0.04231997487197381,0.19745401468246224,0.4375597993047371,13.577096970805453,0.0006362172517295761
