date,nav
2018-01-02,1.0
2018-01-03,1.0099931034565717
2018-01-04,1.0239150779116317
2018-01-05,1.0238440021024682
2018-01-08,1.0100703116614422
2018-01-09,1.004453596032783
2018-01-10,0.9972052607009757
2018-01-11,1.0006399498598724
2018-01-12,1.0150331226873475
2018-01-15,1.0218888776530162
2018-01-16,1.034867591962699
2018-01-17,1.0324897201173384
2018-01-18,1.0284982289005817
2018-01-19,1.0229010123377926
2018-01-22,1.028809100627856
2018-01-23,1.0264228097267305
2018-01-24,1.0334933270633968
2018-01-25,1.0251423730382814
2018-01-26,1.0298516926785817
2018-01-29,1.0409046381863034
2018-01-30,1.0278386106448523
2018-01-31,1.029432198858739
2018-02-01,1.0296287744355497
2018-02-02,1.0284170186049233
2018-02-05,1.0151072003492991
2018-02-06,0.9410421576582371
2018-02-07,0.9663101685645628
2018-02-08,0.9581831460967662
2018-02-09,0.9450859978564772
2018-02-12,0.946889703309712
2018-02-21,0.9793913070422893
2018-02-22,0.9929247590380964
2018-02-23,1.0053231366048545
2018-02-26,1.0110956531890454
2018-02-27,1.0113796930201646
2018-03-01,1.0184682617753293
2018-03-02,1.0224320704447645
2018-03-05,1.0204651345316644
2018-03-06,1.0343197622817155
2018-03-07,1.0364728133072667
2018-03-08,1.0403724106640269
2018-03-09,1.039248431907905
2018-03-12,1.0396738819098705
2018-03-13,1.0519601767024467
2018-03-14,1.0558624659497224
2018-03-15,1.0634847755061898
2018-03-16,1.0612043993919478
2018-03-19,1.0662194623842247
2018-03-20,1.0710681221791094
2018-03-21,1.078312791682105
2018-03-22,1.063578946201301
2018-03-23,1.0520772845784259
2018-03-26,1.0591414837537854
2018-03-27,1.0683118054245448
2018-03-28,1.0670769721353095
2018-03-29,1.06576302390932
2018-03-30,1.0659427204531484
2018-03-31,1.078809353527938
2018-04-02,1.086389592251236
2018-04-03,1.0979908201703201
2018-04-09,1.113751355159322
2018-04-10,1.0895985041138296
2018-04-11,1.0900773361464957
2018-04-12,1.083597372785027
2018-04-13,1.0660929092695575
2018-04-16,1.0520047458826556
2018-04-17,1.0393841638758012
2018-04-18,1.050062748241455
2018-04-19,1.0650140047568264
2018-04-20,1.056209164625992
2018-04-23,1.0528063042744569
2018-04-24,1.0232228917928208
2018-04-25,1.0372813883690626
2018-04-26,1.0050603201462436
2018-04-27,1.0194358476549883
2018-04-30,1.0316814015192495
2018-05-02,1.030478023829329
2018-05-03,1.025569756531128
2018-05-04,1.0204366398032976
2018-05-07,1.0285592174638334
2018-05-08,1.0306288293402044
2018-05-09,1.0296855521809904
2018-05-10,1.033907539741926
2018-05-11,1.0269963030309528
2018-05-14,1.0364215776222778
2018-05-15,1.0341825590786402
2018-05-16,1.0368605548387713
2018-05-17,1.0284572581451528
2018-05-18,1.0290178419842984
2018-05-21,1.034105698238241
2018-05-22,1.0286047003754313
2018-05-23,1.030082761506237
2018-05-24,1.0317685903363292
2018-05-25,1.030165085234387
2018-05-28,1.0348396560239286
2018-05-29,1.0386227956662981
2018-05-30,1.0390787906314523
2018-05-31,1.0474353738786006
2018-06-01,1.0558807190349508
2018-06-04,1.068717128962968
2018-06-05,1.059294966054054
2018-06-06,1.0805119081396057
2018-06-07,1.082699948618491
2018-06-08,1.0800616572338815
2018-06-11,1.0927803826599245
2018-06-12,1.0996265404335015
2018-06-13,1.0863673273629018
2018-06-14,1.0766169910033083
2018-06-15,1.0794488196335306
2018-06-19,1.067993399076081
2018-06-20,1.0510060199548001
2018-06-21,1.0633361888151487
2018-06-22,1.0531615924045477
2018-06-25,1.0519812856047819
2018-06-26,1.0521162674771052
2018-06-27,1.0572338990894918
2018-06-28,1.0498223393207087
2018-06-29,1.0569996904058876
2018-07-02,1.0555559557150689
2018-07-03,1.0325451785201356
2018-07-04,1.0300982431422687
2018-07-05,1.012713079960271
2018-07-06,1.0139098576759056
2018-07-09,1.0154148205016162
2018-07-10,1.030331384965908
2018-07-11,1.01775560794323
2018-07-12,1.0322374167917259
2018-07-13,1.0429999401900372
2018-07-16,1.0453823700412719
2018-07-17,1.0398200205169472
2018-07-18,1.0258023180233724
2018-07-19,1.0247957520122404
2018-07-20,1.011197179162604
2018-07-23,1.0010407045438183
2018-07-24,1.012243342273432
2018-07-25,1.0146673122397312
2018-07-26,1.0232295709493018
2018-07-27,1.028331558539834
2018-07-30,1.0141874703127178
2018-07-31,1.0181777394767733
2018-08-01,1.0268323274458555
2018-08-02,1.0131660425033457
2018-08-03,1.018511004103073
2018-08-06,1.0220466898242189
2018-08-07,1.021016992847135
2018-08-08,1.015600084456004
2018-08-09,1.0102456896290488
2018-08-10,1.0018662292245528
2018-08-13,0.9590050233688716
2018-08-14,0.9715474186765445
2018-08-15,0.9572109115804113
2018-08-16,0.9587208167228803
2018-08-17,0.9567047812834705
2018-08-20,0.9483564248084225
2018-08-21,0.9589641782134487
2018-08-22,0.957258604660302
2018-08-23,0.9554284960119019
2018-08-24,0.9490907686138651
2018-08-27,0.9655133261444445
2018-08-28,0.9671228086340655
2018-08-29,0.9708543626181919
2018-08-30,0.9731663948173053
