date,nav
2018-01-02,0.998385
2018-01-03,1.008286182962008
2018-01-04,1.0241461494114463
2018-01-05,1.0266966632310943
2018-01-08,1.01640549444363
2018-01-09,1.0057429293685802
2018-01-10,0.9973780742609575
2018-01-11,1.0061792065022552
2018-01-12,1.0346386331612247
2018-01-15,1.0495852267292973
2018-01-16,1.0633152248808613
2018-01-17,1.0708362645489606
2018-01-18,1.070739936670825
2018-01-19,1.05984219171485
2018-01-22,1.0630121300269169
2018-01-23,1.06510318566118
2018-01-24,1.0699840220469967
2018-01-25,1.0583169711769105
2018-01-26,1.0663730430732365
2018-01-29,1.0824650644968954
2018-01-30,1.0692352305323543
2018-01-31,1.0686003646882754
2018-02-01,1.0631310387309845
2018-02-02,1.0689587902480615
2018-02-05,1.0586784203474788
2018-02-06,0.9770519906857892
2018-02-07,1.0029503815466823
2018-02-08,0.9950948723865051
2018-02-09,0.9881091350297061
2018-02-12,0.987570275370547
2018-02-21,1.016450937511865
2018-02-22,1.0444380201716466
2018-02-23,1.0619265355265237
2018-02-26,1.0748987772029897
2018-02-27,1.0755580659923225
2018-03-01,1.0780814908833833
2018-03-02,1.0832343584864734
2018-03-05,1.078303562794014
2018-03-06,1.0879967406830278
2018-03-07,1.0872774347522787
2018-03-08,1.0917308769409784
2018-03-09,1.0860749219530315
2018-03-12,1.0799024877253487
2018-03-13,1.1046059192674549
2018-03-14,1.1159139845886936
2018-03-15,1.121354691036346
2018-03-16,1.1034979845869717
2018-03-19,1.1079873829679032
2018-03-20,1.1186632462837216
2018-03-21,1.127765948781666
2018-03-22,1.1202207823013204
2018-03-23,1.1103103310490188
2018-03-26,1.1189288100376535
2018-03-27,1.1271471541880298
2018-03-28,1.11193898765075
2018-03-29,1.1038765617161694
2018-03-30,1.0927071076905746
2018-03-31,1.1161454863334546
2018-04-02,1.1177889063820812
2018-04-03,1.1365110802458949
2018-04-09,1.1570864669518033
2018-04-10,1.1319802759208817
2018-04-11,1.1156547895179028
2018-04-12,1.1012275378962055
2018-04-13,1.0793340655291928
2018-04-16,1.0526421741000622
2018-04-17,1.0399435659545713
2018-04-18,1.0401594222950699
2018-04-19,1.0509472482369997
2018-04-20,1.0357127776900934
2018-04-23,1.0310409976039938
2018-04-24,1.0088958720131478
2018-04-25,1.019891418204966
2018-04-26,0.9986112120827482
2018-04-27,1.0173693185844694
2018-04-30,1.032638688222052
2018-05-02,1.0214528991320695
2018-05-03,1.0213240782666781
2018-05-04,1.0210788817624725
2018-05-07,1.0214121142851793
2018-05-08,1.0170591325070781
2018-05-09,1.014533396635498
2018-05-10,1.016039283678303
2018-05-11,1.00875752496554
2018-05-14,1.0138079252935133
2018-05-15,1.0105227996340282
2018-05-16,1.013943363717953
2018-05-17,1.0069694974493382
2018-05-18,1.0047242508257044
2018-05-21,1.016230052871589
2018-05-22,1.0088551940826833
2018-05-23,1.012423081308527
2018-05-24,1.0146690538643144
2018-05-25,1.012711405128219
2018-05-28,1.0159726533640752
2018-05-29,1.0160422552361854
2018-05-30,1.0232324279766
2018-05-31,1.035862088417625
2018-06-01,1.0310454532260946
2018-06-04,1.0434729925955808
2018-06-05,1.0408707456172304
2018-06-06,1.0572206736373768
2018-06-07,1.0575430509275032
2018-06-08,1.0440461487431876
2018-06-11,1.0487438318895301
2018-06-12,1.0507910083560095
2018-06-13,1.0481737606184391
2018-06-14,1.0239655443959688
2018-06-15,1.0259558577046959
2018-06-19,1.0096708669482237
2018-06-20,0.9994289384642961
2018-06-21,1.0056188918403326
2018-06-22,0.9962418793587071
2018-06-25,0.9950973892008249
2018-06-26,0.991651617117403
2018-06-27,0.9976239921363722
2018-06-28,0.9857198770298011
2018-06-29,0.9940489564952846
2018-07-02,0.9808283167647869
2018-07-03,0.954285443832378
2018-07-04,0.9505200654507457
2018-07-05,0.931538581075908
2018-07-06,0.9345870422070074
2018-07-09,0.9399993118793822
2018-07-10,0.9525119672073086
2018-07-11,0.9380488696312131
2018-07-12,0.9441636610994748
2018-07-13,0.9537341859420181
2018-07-16,0.9536599178681302
2018-07-17,0.9477922108331052
2018-07-18,0.9347884651281873
2018-07-19,0.937523674537355
2018-07-20,0.9260911924409847
2018-07-23,0.912771135703828
2018-07-24,0.9221419055122076
2018-07-25,0.9207494578510199
2018-07-26,0.9292632820987619
2018-07-27,0.9334115368876641
2018-07-30,0.9182285908604668
2018-07-31,0.9263329208069411
2018-08-01,0.9294484439254901
2018-08-02,0.9172699236254542
2018-08-03,0.9225138360512721
2018-08-06,0.926313056654394
2018-08-07,0.9351830677660513
2018-08-08,0.9252392844077374
2018-08-09,0.9186169499224414
2018-08-10,0.9107083957034703
2018-08-13,0.8665459716359788
2018-08-14,0.8832110007601924
2018-08-15,0.8642927159955986
2018-08-16,0.8636903615741153
2018-08-17,0.859638343127256
2018-08-20,0.8550462636528612
2018-08-21,0.8606060140510353
2018-08-22,0.8557604390992659
2018-08-23,0.8528494629983605
2018-08-24,0.8512716558957207
2018-08-27,0.8674300137907968
2018-08-28,0.8728702309427318
2018-08-29,0.8721122377295752
2018-08-30,0.87272119637569
2018-08-31,0.8708672728307456
2018-09-03,0.8514662339214526
2018-09-04,0.8529159778305461
2018-09-05,0.8489121018982557
2018-09-06,0.8462825655081101
2018-09-07,0.8285600493333063
2018-09-10,0.8198777906759793
2018-09-11,0.8277548001383713
2018-09-12,0.8271884603794036
2018-09-13,0.8265455449648205
2018-09-14,0.8314098644213218
2018-09-17,0.8278462661933945
2018-09-18,0.8177923361664556
2018-09-19,0.8275134904226041
2018-09-20,0.8246730593951093
2018-09-21,0.8391866729137154
2018-09-25,0.8535789537399074
2018-09-26,0.8405487615342462
2018-09-27,0.8369879073903607
2018-09-28,0.8372784002164769
2018-10-01,0.8453944680286185
2018-10-02,0.8423859689151854
2018-10-03,0.832077694549944
2018-10-04,0.8301853757789887
2018-10-05,0.8064043625810278
2018-10-08,0.7970246217032738
2018-10-09,0.7866781359537595
2018-10-11,0.7330377292594181
2018-10-12,0.7525711061633832
2018-10-15,0.749675082016234
2018-10-16,0.7586595822984067
2018-10-17,0.7557867237593914
2018-10-18,0.7556072428471423
2018-10-19,0.753965768013624
2018-10-22,0.7621271647135506
2018-10-23,0.7494351462229952
2018-10-24,0.7451797487361428
2018-10-25,0.7187855794662785
2018-10-26,0.7117506666358919
2018-10-29,0.7085709093615482
2018-10-30,0.7099982313142469
2018-10-31,0.7238882018800669
2018-11-01,0.7295792327014813
2018-11-02,0.7265401625717
2018-11-05,0.7277564168083921
2018-11-06,0.722225483145781
2018-11-07,0.7314696056187859
2018-11-08,0.7284968823597873
2018-11-09,0.7422196246504901
2018-11-12,0.7434199790218009
2018-11-13,0.749834894592883
2018-11-14,0.7444752264634744
2018-11-15,0.7466676821037467
2018-11-16,0.7530343585328878
2018-11-19,0.7678067490256838
2018-11-20,0.7642105265943138
2018-11-21,0.757997891422012
2018-11-22,0.7481653919217924
2018-11-23,0.7381813158201643
2018-11-26,0.744856280525421
2018-11-27,0.7482231698995795
2018-11-28,0.7480063311631069
2018-11-29,0.7541197391843915
2018-11-30,0.7697739327252126
2018-12-03,0.7719642834995177
2018-12-04,0.7802458440050336
2018-12-05,0.7787616542149289
2018-12-06,0.7453160959637828
2018-12-07,0.7597222734087592
2018-12-10,0.7477370486201849
2018-12-11,0.750860583426285
2018-12-12,0.7619497729296554
2018-12-13,0.76736466503911
2018-12-14,0.7566183428663216
2018-12-17,0.7533978385624134
2018-12-18,0.743494103829592
2018-12-19,0.7371131773430782
2018-12-20,0.7247841146421533
2018-12-21,0.7346312154086304
2018-12-22,0.7290577199058645
2018-12-24,0.7369579086098986
2018-12-25,0.7222930959272356
2018-12-26,0.714107310780679
2018-12-27,0.725152632044609
2018-12-28,0.725560899317413
2019-01-02,0.7201472855176081
2019-01-03,0.7193615200032105
2019-01-04,0.7179019903557486
2019-01-07,0.7258657264219979
2019-01-08,0.731088967502338
2019-01-09,0.7268788048425159
2019-01-10,0.7291550007290151
2019-01-11,0.7266915377207044
2019-01-14,0.7265284089789754
2019-01-15,0.723194540861887
2019-01-16,0.723888747997858
2019-01-17,0.7209109186632339
2019-01-18,0.7236279539256858
2019-01-21,0.7261973283901934
2019-01-22,0.7264372013888036
2019-01-23,0.7291283972132323
2019-01-24,0.7346395617784851
2019-01-25,0.7392989636978314
2019-01-28,0.7450357150668782
2019-01-29,0.7457465218058767
2019-01-30,0.7477366445022819
2019-02-11,0.7460832951305626
2019-02-12,0.7555745352451498
2019-02-13,0.7519763157526212
2019-02-14,0.7567338742085072
2019-02-15,0.7480580025284006
2019-02-18,0.7481673005590516
2019-02-19,0.751320845193398
2019-02-20,0.7622744837638628
2019-02-21,0.7634718592237976
2019-02-22,0.7618581897068896
2019-02-25,0.7617248373307043
2019-02-26,0.7534168730153655
2019-02-27,0.7530043733518877
2019-03-04,0.7586425328079234
2019-03-05,0.759532344629126
2019-03-06,0.7640378212406039
2019-03-07,0.7514551061821753
2019-03-08,0.7566112398501881
2019-03-11,0.764643510030557
2019-03-12,0.772660800628757
2019-03-13,0.7756883680999304
2019-03-14,0.7790182300633726
