date,nav
2018-01-02,0.9986327219401155
2018-01-03,1.0096488887118638
2018-01-04,1.016754923472305
2018-01-05,1.0173804855682644
2018-01-08,1.0063580454019359
2018-01-09,0.99756387404323
2018-01-10,0.9908146251198542
2018-01-11,0.9977097307633989
2018-01-12,1.0081741889272584
2018-01-15,1.0148770973673005
2018-01-16,1.0233095094661562
2018-01-17,1.0238218260032408
2018-01-18,1.02112605789638
2018-01-19,1.0149012785434093
2018-01-22,1.0174111103095043
2018-01-23,1.0149720410583307
2018-01-24,1.02106791935342
2018-01-25,1.0128030257061549
2018-01-26,1.0153279689942833
2018-01-29,1.0264396706577443
2018-01-30,1.015912338999395
2018-01-31,1.0179428828035737
2018-02-01,1.0148927591294417
2018-02-02,1.0139932448926265
2018-02-05,1.0019417435489757
2018-02-06,0.9395147125652257
2018-02-07,0.96177490551399
2018-02-08,0.9557194654181675
2018-02-09,0.9432051624140221
2018-02-12,0.9425088806784286
2018-02-21,0.9720207334226002
2018-02-22,0.9806717953210347
2018-02-23,0.9893665645606322
2018-02-26,0.9959731068544987
2018-02-27,0.9970273414287639
2018-03-01,0.9986799531825884
2018-03-02,1.0001077234901787
2018-03-05,0.9967016036928914
2018-03-06,1.006432795922745
2018-03-07,1.0085260123130768
2018-03-08,1.0158927489905656
2018-03-09,1.0196527467589835
2018-03-12,1.0205169371206033
2018-03-13,1.0295689135102017
2018-03-14,1.0303417163479627
2018-03-15,1.0376956068135235
2018-03-16,1.0342705959482987
2018-03-19,1.03282259620332
2018-03-20,1.0380870500826487
2018-03-21,1.0418789484238207
2018-03-22,1.0301768895922312
2018-03-23,1.017987990028587
2018-03-26,1.0260184531535061
2018-03-27,1.0324772672251459
2018-03-28,1.0339957181308013
2018-03-29,1.0316455269560576
2018-03-30,1.0337584187788078
2018-03-31,1.0424983348622967
2018-04-02,1.039792823001507
2018-04-03,1.045211724498279
2018-04-09,1.0535034590627217
2018-04-10,1.0315169861963371
2018-04-11,1.0267052862512165
2018-04-12,1.0188006685210889
2018-04-13,1.0061284452037127
2018-04-16,0.9981771333962506
2018-04-17,0.9850178381202093
2018-04-18,0.9973092335086762
2018-04-19,1.0090908961204335
2018-04-20,1.0006141008089733
2018-04-23,0.9982246646384388
2018-04-24,0.973367150730497
2018-04-25,0.985572031576925
2018-04-26,0.9556748181773362
2018-04-27,0.9704078361623304
2018-04-30,0.980326331014015
2018-05-02,0.9773160778251133
2018-05-03,0.973391190547614
2018-05-04,0.9674633902129068
2018-05-07,0.9768630040917851
2018-05-08,0.9790344398602709
2018-05-09,0.9791302727216007
2018-05-10,0.9829618863679347
2018-05-11,0.9761594425326123
2018-05-14,0.9822434361359786
2018-05-15,0.9774203761649621
2018-05-16,0.9789900596030252
2018-05-17,0.9710611587789079
2018-05-18,0.9704026104360127
2018-05-21,0.9758981603365331
2018-05-22,0.9719122474058914
2018-05-23,0.9702484047420433
2018-05-24,0.9721139629284744
2018-05-25,0.9702639071402305
2018-05-28,0.9781827903738898
2018-05-29,0.9806938043884166
2018-05-30,0.9811609243323712
2018-05-31,0.9874045659922531
2018-06-01,0.9954233209923852
2018-06-04,1.0038840946368242
2018-06-05,0.9950796951074699
2018-06-06,1.0108317878277189
2018-06-07,1.0107347016657184
2018-06-08,1.0091978600881466
2018-06-11,1.0199016771639884
2018-06-12,1.025561938494099
2018-06-13,1.0149920332825833
2018-06-14,1.0088202768578596
2018-06-15,1.011031539275971
2018-06-19,1.0035685582262024
2018-06-20,0.9855858910473673
2018-06-21,0.99529355424166
2018-06-22,0.9872429761893496
2018-06-25,0.984676237618216
2018-06-26,0.9836153331400787
2018-06-27,0.9884914647467498
2018-06-28,0.98131838306067
2018-06-29,0.9872369663880584
2018-07-02,0.9837226442928816
2018-07-03,0.9650831709662313
2018-07-04,0.9612384251411183
2018-07-05,0.9464014514455972
2018-07-06,0.9510337608854211
2018-07-09,0.9501292842365159
